País,Country,Principal Índice,ETFs Americanos,S&P,Moody's,Fitch,Nível de Risco,Empresa,Ticker,Setor,GeoJSON name
Bahamas,Bahamas,,,,,,,,,,BAHAMAS
Bahrain,Bahrain,Bahrain All Share,,,,,,,,,BAHRAIN
Bangladesh,Bangladesh,DSEX Index,,B+,B2,,35,,,,BANGLADESH
Barbados,Barbados,,,,,,,,,,BARBADOS
Belarus,Belarus,,,,,,,,,,BELARUS
Belgium,Belgium,BEL 20,,AA,Aa3,AA,87,,,,BELGIUM
Belize,Belize,,,,,,,,,,BELIZE
Benin,Benin,BRVM Composite,,,,,,,,,BENIN
Bermuda,Bermuda,,,,,,,,,,BERMUDA
Bolivia,Bolivia,,,,,,,,,,BOLIVIA
Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,BOSNIA_AND_HERZEGOVINA
Botswana,Botswana,,,,,,,,,,BOTSWANA
Bulgaria,Bulgaria,SOFIX,,,,,,,,,BULGARIA
Burkina Faso,Burkina Faso,BRVM Composite,,,,,,,,,BURKINA_FASO
Cambodia,Cambodia,,,,,,,,,,CAMBODIA
Cameroon,Cameroon,,,,,,,,,,CAMEROON
Cape Verde,Cape Verde,,,,,,,,,,CAPE_VERDE
Cayman Islands,Cayman Islands,,,,,,,,,,CAYMAN_ISLANDS
Chad,Chad,,,,,,,,,,CHAD
Congo,Congo,,,,,,,,,,CONGO
Costa Rica,Costa Rica,,,,,,,,,,COSTA_RICA
Croatia,Croatia,CROBEX,,,,,,,,,CROATIA
Cuba,Cuba,,,,,,,,,,CUBA
Cyprus,Cyprus,,,,,,,,,,CYPRUS
Czech Republic,Czech Republic,PX Index,,,,,,,,,CZECH_REPUBLIC
Denmark,Denmark,OMX Copenhagen 20,,,,,,,,,DENMARK
Dominican Republic,Dominican Republic,,,,,,,,,,DOMINICAN_REPUBLIC
Ecuador,Ecuador,,,,,,,,,,ECUADOR
Egypt,Egypt,EGX 30,,,,,,,,,EGYPT
El Salvador,El Salvador,,,,,,,,,,EL_SALVADOR
Estonia,Estonia,OMX Tallinn,,,,,,,,,ESTONIA
Ethiopia,Ethiopia,,,,,,,,,,ETHIOPIA
European Union,European Union,,,,,,,,,,EUROPEAN_UNION
Fiji,Fiji,,,,,,,,,,FIJI
Finland,Finland,OMX Helsinki 25,,AA+,Aa1,AA (high),96,,,,FINLAND
Gabon,Gabon,,,,,,,,,,GABON
Georgia,Georgia,,,,,,,,,,GEORGIA
Ghana,Ghana,,,,,,,,,,GHANA
Greece,Greece,,,BBB-,Baa3,BBB,55,,,,GREECE
Grenada,Grenada,,,,,,,,,,GRENADA
Guatemala,Guatemala,,,,,,,,,,GUATEMALA
Honduras,Honduras,,,,,,,,,,HONDURAS
Hungary,Hungary,BUX Index,,,,,,,,,HUNGARY
Iceland,Iceland,OMX Iceland All-Share,,A+,A1,,76,,,,ICELAND
Iraq,Iraq,,,,,,,,,,IRAQ
Ireland,Ireland,ISEQ Overall,,,,,,,,,IRELAND
Isle of Man,Isle of Man,,,,,,,,,,ISLE_OF_MAN
Israel,Israel,TA-125,,A,Baa1,,73,,,,ISRAEL
Ivory Coast,Ivory Coast,BRVM Composite,,,,,,,,,IVORY_COAST
Jamaica,Jamaica,,,,,,,,,,JAMAICA
Jordan,Jordan,Amman SE General Index,,,,,,,,,JORDAN
Kazakhstan,Kazakhstan,KASE Index,,,,,,,,,KAZAKHSTAN
Kenya,Kenya,Nairobi Securities Exchange (NSE 20),,,,,,,,,KENYA
Kosovo,Kosovo,,,,,,,,,,KOSOVO
Kuwait,Kuwait,Premier Market Index,,,,,,,,,KUWAIT
Kyrgyzstan,Kyrgyzstan,,,,,,,,,,KYRGYZSTAN
Laos,Laos,,,,,,,,,,LAOS
Latvia,Latvia,OMX Riga,,,,,,,,,LATVIA
Lebanon,Lebanon,BLOM Stock Index,,,,,,,,,LEBANON
Lesotho,Lesotho,,,,,,,,,,LESOTHO
Liechtenstein,Liechtenstein,,,,,,,,,,LIECHTENSTEIN
Lithuania,Lithuania,OMX Vilnius,,,,,,,,,LITHUANIA
Luxembourg,Luxembourg,,,,,,,,,,LUXEMBOURG
Macau,Macau,,,,,,,,,,MACAU
Macedonia,Macedonia,,,,,,,,,,MACEDONIA
Madagascar,Madagascar,,,,,,,,,,MADAGASCAR
Maldives,Maldives,,,,,,,,,,MALDIVES
Mali,Mali,BRVM Composite,,CCC+,Caa2,,15,,,,MALI
Malta,Malta,,,,,,,,,,MALTA
Mauritius,Mauritius,,,,,,,,,,MAURITIUS
Moldova,Moldova,,,,,,,,,,MOLDOVA
Mongolia,Mongolia,,,,,,,,,,MONGOLIA
Montenegro,Montenegro,,,,,,,,,,MONTENEGRO
Montserrat,Montserrat,,,,,,,,,,MONTSERRAT
Morocco,Morocco,,,,,,,,,,MOROCCO
Moçambique,Mozambique,BRVM Composite,,CCC+,Caa2,,18,,,,MOZAMBIQUE
Namibia,Namibia,,,,,,,,,,NAMIBIA
Nepal,Nepal,,,,,,,,,,NEPAL
Netherlands,Netherlands,AEX,,,,,,,,,NETHERLANDS
New Zealand,New Zealand,NZX 50,,,,,,,,,NEW_ZEALAND
Nicaragua,Nicaragua,,,,,,,,,,NICARAGUA
Niger,Niger,BRVM Composite,,,,,,,,,NIGER
Norway,Norway,OSEBX,,AAA,Aaa,AAA,99,,,,NORWAY
Oman,Oman,MSM 30,,,,,,,,,OMAN
Pakistan,Pakistan,KSE 100,,CCC+,Caa2,,16,,,,PAKISTAN
Panama,Panama,,,,,,,,,,PANAMA
Papua New Guinea,Papua New Guinea,,,,,,,,,,PAPUA_NEW_GUINEA
Paraguay,Paraguay,,,,,,,,,,PARAGUAY
Portugal,Portugal,PSI 20,,A,A3,A (high),71,,,,PORTUGAL
Puerto Rico,Puerto Rico,,,,,,,,,,PUERTO_RICO
Qatar,Qatar,QE Index,,,,,,,,,QATAR
Republic of the Congo,Republic of the Congo,,,,,,,,,,REPUBLIC_OF_THE_CONGO
Romania,Romania,BET Index,,,,,,,,,ROMANIA
Rwanda,Rwanda,,,,,,,,,,RWANDA
San Marino,San Marino,,,,,,,,,,SAN_MARINO
Saudi Arabia,Saudi Arabia,Tadawul All Share,,,,,,,,,SAUDI_ARABIA
Senegal,Senegal,BRVM Composite,,,,,,,,,SENEGAL
Serbia,Serbia,,,,,,,,,,SERBIA
Seychelles,Seychelles,,,,,,,,,,SEYCHELLES
Slovakia,Slovakia,SAX Index,,,,,,,,,SLOVAKIA
Slovenia,Slovenia,SBITOP,,,,,,,,,SLOVENIA
Solomon Islands,Solomon Islands,,,,,,,,,,SOLOMON_ISLANDS
Sri Lanka,Sri Lanka,CSE All-Share,,,,,,,,,SRI_LANKA
St Vincent and the Grenadines,St Vincent and the Grenadines,,,,,,,,,,ST_VINCENT_AND_THE_GRENADINES
Suriname,Suriname,,,,,,,,,,SURINAME
Swaziland,Swaziland,,,,,,,,,,SWAZILAND
Suécia,Sweden,OMX Stockholm 30,,AAA,Aaa,AAA,99,,,,SWEDEN
Tajikistan,Tajikistan,,,,,,,,,,TAJIKISTAN
Tanzania,Tanzania,,,,,,,,,,TANZANIA
Togo,Togo,BRVM Composite,,,,,,,,,TOGO
Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,TRINIDAD_AND_TOBAGO
Tunisia,Tunisia,,,,,,,,,,TUNISIA
Turkmenistan,Turkmenistan,,,,,,,,,,TURKMENISTAN
Uganda,Uganda,,,,,,,,,,UGANDA
Ucrânia,Ukraine,PFTS Index,,SD,Ca,,11,,,,UKRAINE
United Arab Emirates,United Arab Emirates,ADX General,,AA,Aa2,,90,,,,UNITED_ARAB_EMIRATES
Uruguay,Uruguay,Montevideo BVM Index,,BBB+,Baa1,BBB,61,,,,URUGUAY
Uzbekistan,Uzbekistan,,,,,,,,,,UZBEKISTAN
Vietnam,Vietnam,VN Index,,BB+,Ba2,,46,,,,VIETNAM
Zambia,Zambia,,,,,,,,,,ZAMBIA
Brasil,Brazil,Ibovespa,EWZ,BB-,Ba2,BB,b,Magazine Luiza,MGLU3,Varejo,BRA
China,China,CSI 300,"ASHR, FXI",A+,A1,A+,a,BYD Company,1211.HK,Veículos Elétricos,CHN
Portugal,Portugal,PSI 20,PGAL,A-,Baa2,BBB+,bbb,EDP - Energias de Portugal,EDP.LS,Energia,PRT
Suécia,Sweden,OMX Stockholm 30,EWD,AAA,Aaa,AAA,aaa,Volvo,VOLV-B.ST,Automotivo,SWE
Israel,Israel,TA-35,EIS,AA-,A1,A+,a,Teva Pharmaceutical,TEVA,Farmacêutico,ISR
Portugal,Portugal,PSI 20,PGAL,A-,Baa2,BBB+,bbb,Galp Energia,GALP.LS,Energia,PRT
Portugal,Portugal,PSI 20,PGAL,A-,Baa2,BBB+,bbb,Jerónimo Martins,JMT.LS,Varejo,PRT
Suécia,Sweden,OMX Stockholm 30,EWD,AAA,Aaa,AAA,aaa,Ericsson,ERIC-B.ST,Tecnologia,SWE
Suécia,Sweden,OMX Stockholm 30,EWD,AAA,Aaa,AAA,aaa,H&M,HM-B.ST,Varejo,SWE
Israel,Israel,TA-35,EIS,AA-,A1,A+,a,Bank Leumi,LUMI.TA,Financeiro,ISR
Israel,Israel,TA-35,EIS,AA-,A1,A+,a,Check Point Software,CHKP,Cibersegurança,ISR
Nova Zelândia,New Zealand,NZX 50,ENZL,AA+,Aaa,AA+,aa,Fisher & Paykel Healthcare,FPH.NZ,Saúde,NZL
Nova Zelândia,New Zealand,NZX 50,ENZL,AA+,Aaa,AA+,aa,Auckland Airport,AIA.NZ,Transporte,NZL
Noruega,Norway,OBX Index,NORW,AAA,Aaa,AAA,aaa,Equinor,EQNR,Energia,NOR
Noruega,Norway,OBX Index,NORW,AAA,Aaa,AAA,aaa,DNB ASA,DNB.OL,Financeiro,NOR
Finlândia,Finland,OMX Helsinki 25,EFNL,AA+,Aa1,AA+,aa,Nokia,NOKIA.HE,Tecnologia,FIN
Finlândia,Finland,OMX Helsinki 25,EFNL,AA+,Aa1,AA+,aa,KONE,KNEBV.HE,Industrial,FIN
Áustria,Austria,ATX,EWO,AA+,Aa1,AA+,aa,Erste Group Bank,EBS.VI,Financeiro,AUT
Áustria,Austria,ATX,EWO,AA+,Aa1,AA+,aa,OMV,OMV.VI,Energia,AUT
Dinamarca,Denmark,OMX Copenhagen 25,EDEN,AAA,Aaa,AAA,aaa,Novo Nordisk,NOVO-B.CO,Farmacêutico,DNK
Dinamarca,Denmark,OMX Copenhagen 25,EDEN,AAA,Aaa,AAA,aaa,Vestas Wind Systems,VWS.CO,Energia Renovável,DNK
Países Baixos,Netherlands,AEX,EWN,AAA,Aaa,AAA,aaa,ASML Holding,ASML,Tecnologia,NLD
Países Baixos,Netherlands,AEX,EWN,AAA,Aaa,AAA,aaa,Heineken,HEIA.AS,Bebidas,NLD
Arábia Saudita,Saudi Arabia,Tadawul All Share,KSA,A+,A1,A+,a,Saudi Aramco,2222.SR,Petróleo,SAU
Arábia Saudita,Saudi Arabia,Tadawul All Share,KSA,A+,A1,A+,a,SABIC,2010.SR,Petroquímica,SAU
Bélgica,Belgium,BEL 20,EWK,AA+,Aa3,AA,aa,Anheuser-Busch InBev,ABI.BR,Bebidas,BEL
Bélgica,Belgium,BEL 20,EWK,AA+,Aa3,AA,aa,UCB,UCB.BR,Farmacêutico,BEL
Irlanda,Ireland,ISEQ,EIRL,AA,A1,AA-,aa,CRH plc,CRH,Construção,IRL
Irlanda,Ireland,ISEQ,EIRL,AA,A1,AA-,aa,Ryanair,RYAAY,Aviação,IRL
Emirados Árabes Unidos,United Arab Emirates,ADX General,,AA,Aa2,AA-,aa,Etisalat,ETISALAT.AD,Telecomunicações,ARE
Emirados Árabes Unidos,United Arab Emirates,ADX General,,AA,Aa2,AA-,aa,First Abu Dhabi Bank,FAB.AD,Financeiro,ARE
Bangladesh,Bangladesh,DSEX,,BB-,Ba3,BB-,b,Grameenphone,GP.BD,Telecomunicações,BGD
Bangladesh,Bangladesh,DSEX,,BB-,Ba3,BB-,b,Square Pharmaceuticals,SQURPHARMA.BD,Farmacêutico,BGD
Egito,Egypt,EGX 30,,B-,B3,B-,ccc,Commercial International Bank,COMI.CA,Financeiro,EGY
Egito,Egypt,EGX 30,,B-,B3,B-,ccc,Eastern Company,EAST.CA,Tabaco,EGY
Vietnã,Vietnam,VN-Index,VNM,BB,Ba2,BB-,b,Vingroup,VIC.HM,Conglomerado,VNM
Vietnã,Vietnam,VN-Index,VNM,BB,Ba2,BB-,b,Vietnam Dairy Products,VNM.HM,Alimentos,VNM
Romênia,Romania,BET,,BBB-,Baa3,BBB-,bbb,OMV Petrom,SNP.BX,Energia,ROU
República Tcheca,Czech Republic,PX,,AA-,Aa3,AA-,aa,CEZ Group,CEZ.PR,Energia,CZE
Paquistão,Pakistan,KSE 100,,B-,B3,B-,ccc,Oil & Gas Development Co.,OGDC.KA,Energia,PAK
Chile,Chile,IPSA,ECH,A,A1,A,a,Enel Chile,ENIC,Energia,CHL
Peru,Peru,S&P/BVL Peru General,,BBB,Baa1,BBB,bbb,Credicorp,BAP,Financeiro,PER
Grécia,Greece,ATHEX Composite,GREK,BB+,Ba1,BB,bb,OPAP,OPAP.AT,Entretenimento,GRC
Hungria,Hungary,BUX,,BBB,Baa2,BBB,bbb,OTP Bank,OTP.BD,Financeiro,HUN
Cazaquistão,Kazakhstan,KASE Index,,BBB,Baa2,BBB,bbb,Kazatomprom,KAP.L,Mineração,KAZ
Ucrânia,Ukraine,PFTS,,CCC,Ca,CC,ccc,Ukrnafta,UNAF.UAX,Energia,UKR
Kuwait,Kuwait,Premier Market Index,,A+,A1,A+,a,Kuwait Finance House,KFIN.KW,Financeiro,KWT
Marrocos,Morocco,MASI,,BB+,Ba1,BB+,bb,Attijariwafa Bank,ATW.MS,Financeiro,MAR
Eslováquia,Slovakia,SAX,,A+,A2,A+,a,Slovnaft,SLON.BRAT,Energia,SVK
Equador,Ecuador,ECU Index,,B-,B3,B-,ccc,Petroamazonas,PETRAM.EC,Energia,ECU
Sri Lanka,Sri Lanka,CSE All Share,,CCC,Ca,CCC,ccc,John Keells Holdings,JKH.CM,Conglomerado,LKA
Etiópia,Ethiopia,,,B-,B3,B-,ccc,Ethiopian Airlines,ETHA.AX,Aviação,ETH
Omã,Oman,MSM 30,,BB,Ba2,BB,bb,Bank Muscat,BKMB.OM,Financeiro,OMN
Venezuela,Venezuela,IBC,,SD,Ca,RD,d,Mercantil Servicios Financieros,MVZ.A,Financeiro,VEN
República Dominicana,Dominican Republic,BVRD,,BB-,Ba3,BB-,b,Grupo Popular,GRUPOPOP.DOM,Financeiro,DOM
Guatemala,Guatemala,BVN,,BB-,Ba2,BB-,b,Cervecería Centro Americana,CCA.GT,Bebidas,GTM
Quênia,Kenya,NSE 20,,B,B3,B,b,Safaricom,SCOM.NR,Telecomunicações,KEN
Mianmar,Myanmar,YSX,,,,,ccc,First Myanmar Investment,FMI.MM,Conglomerado,MMR
Panamá,Panama,BVP,,BBB,Baa2,BBB,bbb,Banco General,BG.PA,Financeiro,PAN
Costa Rica,Costa Rica,BNV Index,,BB,Ba2,BB,bb,ICE Group,ICE.CR,Energia,CRI
Uruguai,Uruguay,BVM Index,,BBB-,Baa2,BBB-,bbb,ANCAP,ANCAP.UY,Energia,URY
Croácia,Croatia,CROBEX,,BBB+,Baa2,BBB+,bbb,INA,INA.ZA,Energia,HRV
Bulgária,Bulgaria,SOFIX,,BBB,Baa1,BBB,bbb,Sopharma,SFA.BB,Farmacêutico,BGR
Angola,Angola,BODIVA Index,,CCC,,CCC,ccc,Sonangol,SONANG.AO,Petróleo,AGO
Eslovênia,Slovenia,SBITOP,,A,A3,A,a,Krka,KRKG.LJ,Farmacêutico,SVN
China,China,CSI 300,"ASHR, FXI",A+,A1,A+,a,Tencent,0700.HK,Tecnologia,CHN
China,China,CSI 300,"ASHR, FXI",A+,A1,A+,a,Alibaba,9988.HK,Tecnologia,CHN
China,China,CSI 300,"ASHR, FXI",A+,A1,A+,a,China Mobile,0941.HK,Telecomunicações,CHN
China,China,CSI 300,"ASHR, FXI",A+,A1,A+,a,Ping An Insurance,2318.HK,Seguros,CHN
China,China,CSI 300,"ASHR, FXI",A+,A1,A+,a,Bank of China,3988.HK,Financeiro,CHN
China,China,CSI 300,"ASHR, FXI",A+,A1,A+,a,ICBC,1398.HK,Financeiro,CHN
Alemanha,Germany,DAX,EWG,AAA,Aaa,AAA,aaa,SAP,SAP.DE,Tecnologia,DEU
Alemanha,Germany,DAX,EWG,AAA,Aaa,AAA,aaa,Volkswagen,VOW3.DE,Automotivo,DEU
Alemanha,Germany,DAX,EWG,AAA,Aaa,AAA,aaa,Allianz,ALV.DE,Seguros,DEU
Alemanha,Germany,DAX,EWG,AAA,Aaa,AAA,aaa,Deutsche Bank,DBK.DE,Financeiro,DEU
Alemanha,Germany,DAX,EWG,AAA,Aaa,AAA,aaa,BASF,BAS.DE,Química,DEU
Alemanha,Germany,DAX,EWG,AAA,Aaa,AAA,aaa,Siemens,SIE.DE,Industrial,DEU
Japão,Japan,Nikkei 225,EWJ,A,A1,A,a,Toyota,7203.T,Automotivo,JPN
Japão,Japan,Nikkei 225,EWJ,A,A1,A,a,Sony,6758.T,Tecnologia,JPN
Japão,Japan,Nikkei 225,EWJ,A,A1,A,a,Mitsubishi UFJ,8306.T,Financeiro,JPN
Japão,Japan,Nikkei 225,EWJ,A,A1,A,a,Keyence,6861.T,Tecnologia,JPN
Japão,Japan,Nikkei 225,EWJ,A,A1,A,a,Nintendo,7974.T,Entretenimento,JPN
Reino Unido,United Kingdom,FTSE 100,EWU,AA,Aa3,AA,aa,HSBC,HSBA.L,Financeiro,GBR
Reino Unido,United Kingdom,FTSE 100,EWU,AA,Aa3,AA,aa,BP,BP.L,Energia,GBR
Reino Unido,United Kingdom,FTSE 100,EWU,AA,Aa3,AA,aa,GlaxoSmithKline,GSK.L,Farmacêutico,GBR
Reino Unido,United Kingdom,FTSE 100,EWU,AA,Aa3,AA,aa,Barclays,BARC.L,Financeiro,GBR
Reino Unido,United Kingdom,FTSE 100,EWU,AA,Aa3,AA,aa,AstraZeneca,AZN.L,Farmacêutico,GBR
França,France,CAC 40,EWQ,AA,Aa2,AA,aa,LVMH,MC.PA,Consumo de Luxo,FRA
França,France,CAC 40,EWQ,AA,Aa2,AA,aa,TotalEnergies,TTE.PA,Energia,FRA
França,France,CAC 40,EWQ,AA,Aa2,AA,aa,BNP Paribas,BNP.PA,Financeiro,FRA
França,France,CAC 40,EWQ,AA,Aa2,AA,aa,Airbus,AIR.PA,Aeronáutica,FRA
França,France,CAC 40,EWQ,AA,Aa2,AA,aa,Danone,BN.PA,Alimentos,FRA
Itália,Italy,FTSE MIB,EWI,BBB,Baa3,BBB,bbb,Eni,ENI.MI,Energia,ITA
Itália,Italy,FTSE MIB,EWI,BBB,Baa3,BBB,bbb,UniCredit,UCG.MI,Financeiro,ITA
Itália,Italy,FTSE MIB,EWI,BBB,Baa3,BBB,bbb,Intesa Sanpaolo,ISP.MI,Financeiro,ITA
Itália,Italy,FTSE MIB,EWI,BBB,Baa3,BBB,bbb,Ferrari,RACE,Automotivo,ITA
Itália,Italy,FTSE MIB,EWI,BBB,Baa3,BBB,bbb,Leonardo,LDO.MI,Defesa,ITA
México,Mexico,IPC,EWW,BBB,Baa2,BBB,bbb,América Móvil,AMXL.MX,Telecom,MEX
México,Mexico,IPC,EWW,BBB,Baa2,BBB,bbb,Cemex,CEMEXCPO.MX,Construção,MEX
México,Mexico,IPC,EWW,BBB,Baa2,BBB,bbb,Grupo Bimbo,BIMBOA.MX,Alimentos,MEX
México,Mexico,IPC,EWW,BBB,Baa2,BBB,bbb,Grupo México,GMEXICOB.MX,Mineração,MEX
México,Mexico,IPC,EWW,BBB,Baa2,BBB,bbb,Femsa,FEMSAUBD.MX,Bebidas,MEX
Espanha,Spain,IBEX 35,EWP,A,A1,A,a,Banco Santander,SAN.MC,Financeiro,ESP
Espanha,Spain,IBEX 35,EWP,A,A1,A,a,BBVA,BBVA.MC,Financeiro,ESP
Espanha,Spain,IBEX 35,EWP,A,A1,A,a,Telefónica,TEF.MC,Telecom,ESP
Espanha,Spain,IBEX 35,EWP,A,A1,A,a,Iberdrola,IBE.MC,Energia,ESP
Espanha,Spain,IBEX 35,EWP,A,A1,A,a,Ferrovial,FER.MC,Infraestrutura,ESP
Rússia,Russia,MOEX,,,,,ccc,Gazprom,GAZP.ME,Energia,RUS
Rússia,Russia,MOEX,,,,,ccc,Sberbank,SBER.ME,Financeiro,RUS
Rússia,Russia,MOEX,,,,,ccc,Rosneft,ROSN.ME,Energia,RUS
Rússia,Russia,MOEX,,,,,ccc,Norilsk Nickel,GMKN.ME,Mineração,RUS
Rússia,Russia,MOEX,,,,,ccc,Lukoil,LKOH.ME,Energia,RUS
Austrália,Australia,ASX 200,EWA,AAA,Aaa,AAA,aaa,BHP,BHP.AX,Mineração,AUS
Austrália,Australia,ASX 200,EWA,AAA,Aaa,AAA,aaa,Commonwealth Bank,CBA.AX,Financeiro,AUS
Austrália,Australia,ASX 200,EWA,AAA,Aaa,AAA,aaa,CSL,CSL.AX,Farmacêutico,AUS
Austrália,Australia,ASX 200,EWA,AAA,Aaa,AAA,aaa,Wesfarmers,WES.AX,Varejo,AUS
Austrália,Australia,ASX 200,EWA,AAA,Aaa,AAA,aaa,Westpac,WBC.AX,Financeiro,AUS
Indonésia,Indonesia,IDX Composite,EIDO,BBB,Baa2,BBB,bbb,Bank Rakyat Indonesia,BBRI.JK,Financeiro,IDN
Indonésia,Indonesia,IDX Composite,EIDO,BBB,Baa2,BBB,bbb,Telkom Indonesia,TLKM.JK,Telecom,IDN
Indonésia,Indonesia,IDX Composite,EIDO,BBB,Baa2,BBB,bbb,Unilever Indonesia,UNVR.JK,Consumo,IDN
Indonésia,Indonesia,IDX Composite,EIDO,BBB,Baa2,BBB,bbb,Astra International,ASII.JK,Automotivo,IDN
Indonésia,Indonesia,IDX Composite,EIDO,BBB,Baa2,BBB,bbb,Gudang Garam,GGRM.JK,Tabaco,IDN
Arábia Saudita,Saudi Arabia,Tadawul All Share,KSA,A+,A1,A+,a,STC,7010.SR,Telecom,SAU
Arábia Saudita,Saudi Arabia,Tadawul All Share,KSA,A+,A1,A+,a,Al Rajhi Bank,1120.SR,Financeiro,SAU
Arábia Saudita,Saudi Arabia,Tadawul All Share,KSA,A+,A1,A+,a,Samba Financial Group,1090.SR,Financeiro,SAU
Arábia Saudita,Saudi Arabia,Tadawul All Share,KSA,A+,A1,A+,a,Savola Group,2050.SR,Alimentos,SAU
Arábia Saudita,Saudi Arabia,Tadawul All Share,KSA,A+,A1,A+,a,Ma'aden,1211.SR,Mineração,SAU
Turquia,Turkey,BIST 100,TUR,B,B3,B,b,Turkcell,TCELL.IS,Telecom,TUR
Turquia,Turkey,BIST 100,TUR,B,B3,B,b,Erdemir,EREGL.IS,Siderurgia,TUR
Turquia,Turkey,BIST 100,TUR,B,B3,B,b,Koc Holding,KCHOL.IS,Conglomerado,TUR
Turquia,Turkey,BIST 100,TUR,B,B3,B,b,Akbank,AKBNK.IS,Financeiro,TUR
Turquia,Turkey,BIST 100,TUR,B,B3,B,b,Tofas,TOASO.IS,Automotivo,TUR
Suíça,Switzerland,SMI,EWL,AAA,Aaa,AAA,aaa,Nestlé,NESN.SW,Alimentos,CHE
Suíça,Switzerland,SMI,EWL,AAA,Aaa,AAA,aaa,Roche,ROG.SW,Farmacêutico,CHE
Suíça,Switzerland,SMI,EWL,AAA,Aaa,AAA,aaa,Novartis,NOVN.SW,Farmacêutico,CHE
Suíça,Switzerland,SMI,EWL,AAA,Aaa,AAA,aaa,Zurich Insurance,ZURN.SW,Seguros,CHE
Suíça,Switzerland,SMI,EWL,AAA,Aaa,AAA,aaa,UBS,UBSG.SW,Financeiro,CHE
Países Baixos,Netherlands,AEX,EWN,AAA,Aaa,AAA,aaa,Philips,PHIA.AS,Tecnologia,NLD
Países Baixos,Netherlands,AEX,EWN,AAA,Aaa,AAA,aaa,ING,INGA.AS,Financeiro,NLD
Países Baixos,Netherlands,AEX,EWN,AAA,Aaa,AAA,aaa,Ahold Delhaize,AD.AS,Varejo,NLD
Países Baixos,Netherlands,AEX,EWN,AAA,Aaa,AAA,aaa,Randstad,RAND.AS,Serviços,NLD
Países Baixos,Netherlands,AEX,EWN,AAA,Aaa,AAA,aaa,AkzoNobel,AKZA.AS,Química,NLD
Brasil,Brasil,Índice Local,,,,,,JBS,JBS3,Diversos,BRA
Brasil,Brasil,Índice Local,,,,,,Eletrobras,ELET3,Diversos,BRA
Brasil,Brasil,Índice Local,,,,,,Suzano,SUZA3,Diversos,BRA
Brasil,Brasil,Índice Local,,,,,,BTG Pactual,BTG 3,Diversos,BRA
Brasil,Brasil,Índice Local,,,,,,Telefonica Brasil,TELE3,Diversos,BRA
Brasil,Brasil,Índice Local,,,,,,Ambev,AMBE3,Diversos,BRA
Brasil,Brasil,Índice Local,,,,,,Localiza,LOCA3,Diversos,BRA
Brasil,Brasil,Índice Local,,,,,,WEG,WEG3,Diversos,BRA
Brasil,Brasil,Índice Local,,,,,,Raia Drogasil,RAIA3,Diversos,BRA
Espanha,Espanha,Índice Local,,,,,,Endesa,ENDE3,Diversos,ESP
Espanha,Espanha,Índice Local,,,,,,CaixaBank,CAIX3,Diversos,ESP
Espanha,Espanha,Índice Local,,,,,,Naturgy,NATU3,Diversos,ESP
Espanha,Espanha,Índice Local,,,,,,Bankinter,BANK3,Diversos,ESP
Espanha,Espanha,Índice Local,,,,,,Mapfre,MAPF3,Diversos,ESP
Espanha,Espanha,Índice Local,,,,,,Grifols,GRIF3,Diversos,ESP
Espanha,Espanha,Índice Local,,,,,,Acerinox,ACER3,Diversos,ESP
Espanha,Espanha,Índice Local,,,,,,Colonial,COLO3,Diversos,ESP
Espanha,Espanha,Índice Local,,,,,,Cellnex,CELL3,Diversos,ESP
Espanha,Espanha,Índice Local,,,,,,AENA,AENA3,Diversos,ESP
